CMDLINE python3 test/xmr4el/test_train_pipeline.py
MEM 4151.500000 1760698725.4850
MEM 3976.757812 1760698725.5862
MEM 2078.230469 1760698725.6888
MEM 3113.859375 1760698725.7902
MEM 4660.515625 1760698725.8910
MEM 4921.105469 1760698725.9920
MEM 3859.843750 1760698726.0929
MEM 2848.519531 1760698726.1939
MEM 4221.429688 1760698726.2950
MEM 4522.027344 1760698726.3959
MEM 3967.332031 1760698726.4989
MEM 3149.234375 1760698726.6000
MEM 4165.953125 1760698726.7010
MEM 4497.121094 1760698726.8021
MEM 4380.914062 1760698726.9032
MEM 3074.792969 1760698727.0041
MEM 3906.570312 1760698727.1081
MEM 4242.031250 1760698727.2090
MEM 4097.058594 1760698727.3099
MEM 3474.746094 1760698727.4111
MEM 3882.617188 1760698727.5119
MEM 4179.796875 1760698727.6130
MEM 4135.703125 1760698727.7141
MEM 3542.082031 1760698727.8152
MEM 3818.066406 1760698727.9163
MEM 4084.195312 1760698728.0191
MEM 3978.824219 1760698728.1201
MEM 3450.687500 1760698728.2209
MEM 3945.000000 1760698728.3220
MEM 4213.027344 1760698728.4232
MEM 3742.261719 1760698728.5242
MEM 3634.507812 1760698728.6252
MEM 3769.847656 1760698728.7271
MEM 3916.765625 1760698728.8281
MEM 3847.636719 1760698728.9311
MEM 4005.039062 1760698729.0319
MEM 3563.437500 1760698729.1329
MEM 3788.195312 1760698729.2349
MEM 4175.109375 1760698729.3362
MEM 3975.625000 1760698729.4369
MEM 3545.464844 1760698729.5381
MEM 3968.218750 1760698729.6400
MEM 4358.468750 1760698729.7411
MEM 4204.613281 1760698729.8432
MEM 2957.675781 1760698729.9440
